IP Address,Occurrences
11.246.100.144,1
47.123.182.22,1
10.111.16.123,39
10.106.167.55,44
186.176.52.179,1
10.208.223.100,37
10.76.214.192,31
10.65.225.3,32
10.138.67.65,37
251.21.95.187,1
251.127.108.224,1
30.2.159.214,1
31.100.84.14,1
10.150.22.223,36
10.161.149.154,46
10.118.104.252,33
10.6.51.186,39
10.180.211.210,36
10.43.147.215,35
10.66.79.126,48
10.12.190.159,44
58.2.200.113,1
10.15.131.199,39
10.33.78.184,45
10.86.254.202,46
10.50.253.159,31
10.9.132.49,44
10.226.11.253,28
10.222.92.27,36
142.172.8.248,1
137.135.81.202,1
237.199.211.41,1
98.57.146.173,1
10.125.251.55,38
10.200.188.150,36
143.206.202.100,1
10.19.182.119,33
10.246.85.112,41
135.213.101.250,1
200.92.198.122,1
10.39.253.27,34
216.75.97.132,1
10.114.120.10,1
10.114.44.171,38
10.243.91.71,34
10.77.22.138,32
10.232.84.47,35
205.247.62.173,1
247.246.6.54,1
216.237.228.84,1
10.52.142.35,46
156.82.108.31,1
10.216.250.210,30
10.140.181.120,38
10.227.115.12,29
10.145.44.167,41
10.204.163.171,37
100.224.29.219,1
23.109.225.62,1
165.115.215.230,1
41.233.142.130,1
184.229.20.50,1
138.155.75.127,1
10.243.195.43,46
134.146.254.174,1
10.58.76.113,31
10.71.58.65,47
10.35.87.188,45
157.122.205.144,1
157.65.190.79,1
61.39.137.145,1
10.137.35.128,33
91.209.224.207,1
120.47.4.255,1
10.83.203.204,45
253.221.35.250,1
13.141.226.240,1
10.71.0.229,36
209.156.157.147,1
72.81.173.132,1
173.254.32.89,1
10.208.16.27,35
237.79.28.208,1
167.83.103.244,1
174.239.162.94,1
10.85.127.144,41
12.103.172.187,1
152.244.4.234,1
225.206.95.196,1
171.246.181.121,1
10.71.112.12,40
25.11.162.109,1
88.2.3.1,1
10.189.249.182,33
10.108.36.125,34
108.231.19.132,1
10.41.122.60,36
10.84.110.148,41
10.59.119.203,44
183.237.34.46,1
10.164.14.18,35
72.142.239.165,1
10.144.122.133,31
10.27.213.150,37
250.213.126.109,1
10.31.73.85,47
10.134.59.205,34
10.162.185.46,25
60.139.222.153,1
137.221.44.43,1
136.63.231.40,1
193.93.131.64,1
56.210.46.89,1
191.55.185.226,1
10.75.135.117,36
10.6.242.162,34
10.34.125.180,43
139.94.141.47,1
10.245.188.70,36
10.54.126.70,51
10.219.211.55,37
55.100.156.189,1
213.176.96.144,1
54.79.199.10,1
10.86.70.117,37
92.138.184.193,1
10.43.50.190,35
50.238.87.85,1
134.166.183.156,1
10.223.51.158,42
122.251.52.3,1
10.112.5.54,31
10.193.146.129,37
205.70.0.105,1
10.203.66.244,34
195.190.160.109,1
160.240.128.91,1
29.236.224.102,1
61.7.211.4,1
36.88.237.131,1
253.80.150.71,1
213.93.89.60,1
10.15.246.31,31
52.78.91.205,1
11.131.5.171,1
55.198.68.192,1
122.177.107.125,1
10.86.137.195,41
10.76.54.114,41
150.162.168.74,1
10.81.216.97,30
98.254.240.50,1
176.133.166.170,1
82.123.181.132,1
10.209.224.55,41
178.152.208.179,1
145.207.40.4,1
62.90.62.54,1
10.63.204.75,47
10.0.96.243,35
10.54.51.147,52
10.41.0.134,33
38.21.160.25,1
167.76.105.39,1
10.70.129.76,38
10.36.148.194,37
217.236.87.58,1
10.237.50.171,39
171.7.200.187,1
244.232.196.30,1
63.76.59.125,1
136.54.21.201,1
10.104.255.132,33
104.252.25.85,1
100.214.146.48,1
104.59.105.213,1
